"","Z1","Z2","theta","censoring","runtime"
"mean",0.692549363957374,1.09898427812,1.95897880667596,0.395073333333333,0.267102000000007
"sd",0.0857512387452564,0.100341445081112,0.280580185938773,0.0236622762587754,0.022488108547676
