"","Z1","Z2","theta","censoring","runtime"
"mean",0.605429640326537,0.969330079745589,1.03471514451493,0.860283333333333,0.0586880000000033
"sd",0.13881669998336,0.134919143887395,0.295035698704183,0.0149489873309941,0.00559797558598186
