"","Z1","Z2","theta","censoring","runtime"
"mean",0.687541560854673,1.10039198891507,1.85676294860162,0.860283333333333,0.0846720000000105
"sd",0.161302912051431,0.176347033300135,0.87263112076745,0.0149489873309941,0.0130895029001249
