"","Z1","Z2","theta","censoring","runtime"
"mean",0.606528585240848,0.961431792927148,1.2042597036315,0.773133333333333,0.0800700000000024
"sd",0.111922002223719,0.115806485549139,0.283612847824469,0.0193482079466274,0.00916389950340306
