"","Z1","Z2","theta","censoring","runtime"
"mean",0.624400268779325,0.991118008620831,2.15614227039652,0.395073333333333,0.191698000000006
"sd",0.0806216927699334,0.0906893407651167,0.333791385442601,0.0236622762587754,0.0174900715036364
