"","Z1","Z2","theta","censoring","runtime"
"mean",0.669364728200693,1.06101848089331,1.83270125708844,0.22952,0.260371999999998
"sd",0.071569290737475,0.0826111516742784,0.308087814966924,0.0189252134780074,0.0187155057722849
