"","Z1","Z2","theta","censoring","runtime"
"mean",0.657030805247612,1.04000885868221,1.1518710173428,0.22952,0.277972000000009
"sd",0.072693120064844,0.0807368732301435,0.169129646768506,0.0189252134780074,0.0238659250975413
