"","Z1","Z2","theta","censoring","runtime"
"mean",0.667455614556785,1.05669088876099,1.62752804936976,0.773133333333333,0.106288000000006
"sd",0.128066162376222,0.139038728216585,0.552305938943521,0.0193482079466274,0.0130481248892734
